order_id,order_date,customer_id,segment,channel,country,city,region,category,product_name,quantity,unit_price,discount,shipping_cost,revenue
O100002,2024-04-01,C10061,Consumer,Online,Germany,Munich,Europe,Merch,Ceramic Mug,2,14.0,0.0,10.36,28.0
O100004,2024-05-07,C10147,Small Business,Marketplace,Australia,Brisbane,APAC,Merch,Tote Bag,3,18.0,0.0,10.78,54.0
O100005,2024-03-15,C10303,Corporate,Marketplace,Australia,Melbourne,APAC,Bakery,Biscotti Jar,2,11.5,0.0,-9.33,23.0
O100006,2024-01-18,C10309,Small Business,Store Pickup,United States,San Jose,North America,Coffee,Colombian Beans,4,16.5,0.0,6.87,66.0
O100009,2024-03-26,C10443,Small Business,Marketplace,France,Lyon,Europe,Tea,Matcha Tin,2,19.0,0.0,2.57,38.0
O100011,2024-04-12,C10074,Consumer,Marketplace,Germany,Munich,Europe,Equipment,Pour Over Kit,2,34.0,0.0,8.15,68.0
O100012,2024-06-16,C10139,Consumer,Online,United Kingdom,Birmingham,Europe,Coffee,Colombian Beans,5,16.5,0.05,4.84,78.38
O100014,2024-05-06,C10264,Small Business,Online,United Kingdom,London,Europe,Bakery,Muffin Box,3,13.0,0.0,2.73,39.0
O100015,2024-03-03,C10290,Consumer,Online,United States,Chicago,North America,Coffee,Espresso Blend,3,17.5,0.0,8.8,52.5
O100018,2024-03-22,C10629,Consumer,Online,Australia,Melbourne,APAC,Bakery,Biscotti Jar,4,11.5,0.0,6.99,46.0
O100020,2024-01-26,C10114,Consumer,Online,Canada,Montreal,North America,Tea,Green Tea,3,12.0,0.0,9.69,36.0
O100023,2024-02-24,C10321,Consumer,Online,United Kingdom,Manchester,Europe,Tea,Green Tea,1,11.4,0.0,3.53,11.4
O100026,2024-03-21,C10623,Consumer,Online,United Kingdom,Manchester,Europe,Equipment,Pour Over Kit,1,32.3,0.0,3.33,32.3
O100028,2024-02-24,C10338,Consumer,Store Pickup,United Kingdom,Manchester,Europe,Coffee,Colombian Beans,3,16.5,0.0,10.76,49.5
O100030,2024-01-26,C10472,Consumer,Online,United States,New York,North America,Tea,Herbal Tea,4,10.0,0.0,11.66,40.0
O100031,2024-04-07,C10619,Consumer,Store Pickup,United States,Seattle,North America,Bakery,Biscotti Jar,2,11.5,0.0,5.06,23.0
O100033,2024-03-15,C10579,Small Business,Marketplace,Canada,Montreal,North America,Merch,T-Shirt,5,26.0,0.0,5.66,130.0
O100036,2024-05-11,C10156,Consumer,Online,United States,New York,North America,Coffee,Espresso Blend,5,18.38,0.05,4.03,87.28
O100037,2024-06-25,C10325,Small Business,Online,United States,Seattle,North America,Bakery,Cookie Pack,3,9.45,0.0,4.8,28.35
O100039,2024-01-15,C10522,Corporate,Online,United Kingdom,Birmingham,Europe,Equipment,Burr Grinder,5,79.0,0.0,3.81,395.0
O100040,2024-05-11,C10186,Consumer,Marketplace,United States,San Jose,North America,bAKERY,Cookie Pack,3,9.45,0.0,8.05,28.35
O100043,2024-02-15,C10522,Small Business,Online,Canada,Toronto,North America,Equipment,Milk Frother,4,25.2,0.0,2.68,100.8
O100045,2024-02-19,C10392,Small Business,Marketplace,United States,Seattle,North America,Equipment,Burr Grinder,4,79.0,0.0,6.76,316.0
O100046,2024-06-17,C10068,,,United States,Seattle,North America,Bakery,Croissant Box,5,15.0,0.0,3.96,75.0
O100049,2024-05-03,C10335,Consumer,Online,Australia,Melbourne,APAC,Tea,Green Tea,-1,12.0,0.0,4.25,-12.0
