order_id,order_date,region,state,segment,category,sub_category,ship_mode,quantity,discount,sales,profit,customer_id
ORD-2024-00000,2024-04-12,South,Georgia,Consumer,Furniture,Furnishings,Second Class,4,0.21,222.0,-32.66,C11733
ORD-2025-00001,2025-03-11,Central,Minnesota,Consumer,Furniture,Tables,Standard Class,1,0.29,211.93,-33.74,C10169
ORD-2024-00002,2024-09-27,South,North Carolina,Consumer,Office Supplies,Binders,Standard Class,7,0.05,132.78,19.92,C10460
ORD-2024-00003,2024-04-16,West,California,Home Office,Office Supplies,Binders,Standard Class,4,0.1,150.06,8.11,C10428
ORD-2024-00004,2024-03-12,East,New Jersey,Consumer,Office Supplies,Storage,Second Class,7,0.07,355.65,44.73,C11370
ORD-2025-00005,2025-12-01,Central,Minnesota,Home Office,Office Supplies,Binders,Standard Class,7,0.04,149.42,25.82,C10982
ORD-2024-00006,2024-01-21,Central,Ohio,Consumer,Technology,Machines,Same Day,1,0.08,343.36,39.91,C11569
ORD-2025-00007,2025-09-06,East,New York,Corporate,Technology,Accessories,Standard Class,4,0.25,76.41,-2.62,C10106
ORD-2024-00008,2024-05-01,East,New York,Home Office,Furniture,Chairs,Second Class,7,0.32,528.11,-68.93,C10031
ORD-2025-00009,2025-04-11,West,Washington,Consumer,Technology,Machines,Standard Class,7,0.34,1633.07,-36.96,C10316
ORD-2024-00010,2024-08-02,East,Massachusetts,Consumer,Office Supplies,Paper,Standard Class,4,0.12,85.23,-12.86,C10220
ORD-2024-00011,2024-11-26,West,Oregon,Consumer,Technology,Phones,Standard Class,5,0.21,950.87,47.85,C10261
ORD-2025-00012,2025-04-03,Central,Illinois,Consumer,Office Supplies,Binders,Standard Class,6,0.08,195.54,35.26,C10871
ORD-2024-00013,2024-03-28,West,Arizona,Home Office,Office Supplies,Binders,Standard Class,4,0.09,78.62,-2.9,C10973
ORD-2025-00014,2025-01-07,West,Arizona,Corporate,Furniture,Tables,Standard Class,2,0.3,330.13,-42.43,C10973
ORD-2024-00015,2024-04-09,Central,Michigan,Consumer,Technology,Phones,Standard Class,4,0.11,697.9,120.72,C10096
ORD-2025-00016,2025-10-25,Central,Minnesota,Consumer,Office Supplies,Binders,Standard Class,8,0.27,208.52,8.16,C10749
ORD-2024-00017,2024-05-10,South,Georgia,Consumer,Office Supplies,Appliances,Second Class,3,0.01,307.65,14.02,C10957
ORD-2025-00018,2025-10-23,Central,Minnesota,Consumer,Office Supplies,Appliances,Second Class,8,0.25,772.1,4.6,C10290
ORD-2024-00019,2024-11-04,East,Massachusetts,Corporate,Technology,Machines,Standard Class,5,0.12,1087.39,157.91,C10909
ORD-2024-00020,2024-12-09,South,Florida,Consumer,Technology,Machines,Standard Class,5,0.18,1008.88,79.26,C10876
ORD-2025-00021,2025-05-06,Central,Illinois,Corporate,Furniture,Chairs,Standard Class,4,0.2,705.01,-5.64,C10556
ORD-2025-00022,2025-02-17,West,Arizona,Consumer,Technology,Accessories,Standard Class,3,0.13,91.55,-3.47,C11016
ORD-2025-00023,2025-01-20,Central,Michigan,Consumer,Office Supplies,Binders,Second Class,7,0.14,195.94,9.67,C10537
ORD-2024-00024,2024-07-10,South,Texas,Corporate,Office Supplies,Storage,Second Class,6,0.22,251.5,6.22,C11775
ORD-2024-00025,2024-10-03,East,Massachusetts,Consumer,Technology,Accessories,Standard Class,4,0.05,233.65,37.24,C10295
ORD-2024-00026,2024-06-09,East,New York,Home Office,Furniture,Bookcases,Standard Class,2,0.06,344.47,38.65,C11697
ORD-2025-00027,2025-04-04,West,Oregon,Home Office,Technology,Phones,First Class,7,0.21,1112.93,62.11,C10590
ORD-2024-00028,2024-11-09,West,Arizona,Consumer,Office Supplies,Paper,Standard Class,5,0.07,77.6,8.1,C11277
ORD-2024-00029,2024-01-22,East,Massachusetts,Consumer,Furniture,Tables,Standard Class,7,0.03,1941.27,274.5,C10603
ORD-2024-00030,2024-09-09,Central,Illinois,Home Office,Office Supplies,Appliances,Second Class,5,0.03,347.46,57.89,C10606
ORD-2025-00031,2025-07-14,West,California,Home Office,Furniture,Chairs,Standard Class,6,0.13,700.88,36.11,C11089
ORD-2025-00032,2025-04-19,South,Florida,Corporate,Office Supplies,Storage,Standard Class,3,0.08,126.53,25.42,C11173
ORD-2024-00033,2024-02-28,Central,Michigan,Consumer,Furniture,Tables,First Class,1,0.03,291.84,-5.77,C11448
ORD-2025-00034,2025-05-25,Central,Ohio,Home Office,Furniture,Tables,Standard Class,6,0.17,1218.33,-1.34,C10314
ORD-2025-00035,2025-11-12,South,Florida,Consumer,Office Supplies,Appliances,Second Class,3,0.04,248.0,23.45,C10226
ORD-2025-00036,2025-04-20,West,Washington,Corporate,Furniture,Tables,Standard Class,8,0.05,1863.1,200.59,C11361
ORD-2025-00037,2025-11-30,East,Pennsylvania,Home Office,Technology,Machines,Second Class,7,0.03,2346.01,511.43,C10747
ORD-2024-00038,2024-07-08,Central,Ohio,Consumer,Technology,Accessories,First Class,2,0.03,99.3,1.86,C11695
ORD-2025-00039,2025-11-17,South,Georgia,Home Office,Furniture,Tables,Standard Class,3,0.06,1051.09,93.18,C10802
ORD-2025-00040,2025-07-16,South,Florida,Consumer,Furniture,Chairs,Second Class,6,0.12,640.92,13.86,C10622
ORD-2025-00041,2025-07-20,West,Arizona,Home Office,Office Supplies,Paper,First Class,1,0.06,16.25,-22.69,C11093
ORD-2024-00042,2024-08-31,South,North Carolina,Consumer,Office Supplies,Appliances,Standard Class,7,0.21,460.41,-12.4,C11411
ORD-2025-00043,2025-05-19,West,Arizona,Home Office,Technology,Machines,Second Class,2,0.17,484.81,69.9,C11373
ORD-2024-00044,2024-05-10,South,Texas,Consumer,Technology,Machines,First Class,2,0.1,953.61,150.36,C10753
ORD-2025-00045,2025-04-29,South,North Carolina,Corporate,Technology,Copiers,Standard Class,8,0.23,2633.79,117.66,C10971
ORD-2025-00046,2025-10-08,West,Arizona,Corporate,Furniture,Tables,Standard Class,1,0.23,191.96,-34.69,C11543
ORD-2024-00047,2024-01-21,Central,Michigan,Consumer,Furniture,Chairs,Standard Class,8,0.15,1805.14,54.18,C10820
ORD-2024-00048,2024-06-15,West,Arizona,Consumer,Office Supplies,Binders,Standard Class,4,0.14,128.94,17.87,C11364
ORD-2024-00049,2024-09-30,East,Massachusetts,Corporate,Technology,Copiers,Standard Class,3,0.08,1176.01,222.16,C10798
ORD-2025-00050,2025-01-22,East,Pennsylvania,Consumer,Furniture,Tables,Standard Class,6,0.23,1474.94,-77.36,C10021
ORD-2025-00051,2025-08-23,Central,Minnesota,Corporate,Office Supplies,Appliances,Standard Class,2,0.05,168.03,10.75,C11677
ORD-2024-00052,2024-11-11,South,North Carolina,Consumer,Office Supplies,Storage,Standard Class,6,0.09,254.86,25.85,C11736
ORD-2024-00053,2024-01-14,Central,Michigan,Home Office,Office Supplies,Storage,Standard Class,3,0.25,99.53,7.98,C11056
