date,passengers
2016-01-01,141
2016-02-01,156
2016-03-01,153
2016-04-01,192
2016-05-01,197
2016-06-01,204
2016-07-01,221
2016-08-01,235
2016-09-01,205
2016-10-01,192
2016-11-01,187
2016-12-01,230
2017-01-01,162
2017-02-01,169
2017-03-01,186
2017-04-01,194
2017-05-01,207
2017-06-01,231
2017-07-01,243
2017-08-01,244
2017-09-01,223
2017-10-01,217
2017-11-01,196
2017-12-01,246
2018-01-01,183
2018-02-01,200
2018-03-01,196
2018-04-01,227
2018-05-01,219
2018-06-01,248
2018-07-01,257
2018-08-01,288
2018-09-01,253
2018-10-01,239
2018-11-01,208
2018-12-01,273
2019-01-01,188
2019-02-01,197
2019-03-01,223
2019-04-01,241
2019-05-01,249
2019-06-01,261
2019-07-01,281
2019-08-01,311
2019-09-01,271
2019-10-01,254
2019-11-01,250
2019-12-01,282
2020-01-01,228
2020-02-01,241
2020-03-01,248
2020-04-01,259
2020-05-01,261
2020-06-01,294
2020-07-01,305
2020-08-01,321
2020-09-01,284
2020-10-01,268
2020-11-01,259
2020-12-01,305
2021-01-01,214
2021-02-01,223
2021-03-01,244
2021-04-01,258
2021-05-01,278
2021-06-01,316
2021-07-01,325
2021-08-01,345
2021-09-01,296
2021-10-01,286
2021-11-01,252
2021-12-01,325
2022-01-01,255
2022-02-01,242
2022-03-01,278
2022-04-01,291
2022-05-01,303
2022-06-01,321
2022-07-01,362
2022-08-01,364
2022-09-01,337
2022-10-01,297
2022-11-01,283
2022-12-01,355
2023-01-01,255
2023-02-01,252
2023-03-01,280
2023-04-01,304
2023-05-01,316
2023-06-01,352
2023-07-01,378
2023-08-01,372
2023-09-01,330
2023-10-01,310
2023-11-01,301
2023-12-01,389
2024-01-01,264
2024-02-01,280
2024-03-01,293
2024-04-01,315
2024-05-01,326
2024-06-01,366
2024-07-01,402
2024-08-01,407
2024-09-01,375
2024-10-01,340
2024-11-01,316
2024-12-01,397
2025-01-01,285
2025-02-01,302
2025-03-01,312
2025-04-01,323
2025-05-01,361
2025-06-01,381
2025-07-01,416
2025-08-01,445
2025-09-01,375
2025-10-01,363
2025-11-01,341
2025-12-01,418
