order_id,order_date,order_month,customer_id,product_id,product_name,category,country,channel,segment,quantity,unit_price,discount,gross_sales,is_return,net_sales
O100000,2024-01-21,2024-01,C10214,P1010,French Press,Equipment,Australia,Marketplace,Consumer,1,24.65,0.0,24.65,0,24.65
O100001,2024-01-01,2024-01,C10401,P1008,Espresso Blend,Coffee,Australia,Marketplace,Consumer,2,16.77,0.0,33.54,0,33.54
O100002,2024-01-16,2024-01,C10147,P1004,Colombian Beans,Coffee,Australia,Marketplace,Consumer,2,14.96,0.0,29.92,0,29.92
O100003,2024-01-21,2024-01,C10077,P1002,Ceramic Mug,Merch,Australia,Marketplace,Consumer,2,12.65,0.0,25.3,0,25.3
O100004,2024-01-15,2024-01,C10279,P1019,Travel Mug,Merch,Australia,Marketplace,Consumer,1,18.87,0.0,18.87,0,18.87
O100005,2024-01-30,2024-01,C10458,P1004,Colombian Beans,Coffee,Australia,Marketplace,Consumer,4,14.38,0.0,57.52,0,57.52
O100006,2024-01-14,2024-01,C10307,P1009,Ethiopian Beans,Coffee,Australia,Marketplace,Consumer,1,16.78,0.2,16.78,0,13.42
O100007,2024-01-15,2024-01,C10493,P1000,Biscotti Jar,Bakery,Australia,Marketplace,Consumer,1,11.06,0.15,11.06,0,9.4
O100008,2024-01-24,2024-01,C10580,P1005,Cookie Pack,Bakery,Australia,Marketplace,Consumer,4,8.43,0.0,33.72,0,33.72
O100009,2024-01-10,2024-01,C10228,P1005,Cookie Pack,Bakery,Australia,Marketplace,Consumer,1,8.3,0.15,8.3,0,7.06
O100010,2024-01-24,2024-01,C10211,P1019,Travel Mug,Merch,Australia,Marketplace,Consumer,2,18.96,0.0,37.92,0,37.92
O100011,2024-01-05,2024-01,C10458,P1009,Ethiopian Beans,Coffee,Australia,Marketplace,Consumer,1,15.66,0.25,15.66,0,11.75
O100012,2024-01-07,2024-01,C10374,P1011,Green Tea,Tea,Australia,Marketplace,Consumer,1,9.76,0.0,9.76,1,-9.76
O100013,2024-01-07,2024-01,C10301,P1008,Espresso Blend,Coffee,Australia,Marketplace,Consumer,3,15.66,0.0,46.98,0,46.98
O100014,2024-01-20,2024-01,C10135,P1018,Tote Bag,Merch,Australia,Marketplace,Consumer,1,14.87,0.05,14.87,0,14.13
O100015,2024-01-30,2024-01,C10599,P1003,Cold Brew Pack,Coffee,Australia,Marketplace,Consumer,1,12.04,0.0,12.04,0,12.04
O100016,2024-01-12,2024-01,C10004,P1000,Biscotti Jar,Bakery,Australia,Marketplace,Consumer,2,10.07,0.0,20.14,0,20.14
O100017,2024-01-07,2024-01,C10078,P1018,Tote Bag,Merch,Australia,Marketplace,Consumer,1,14.76,0.0,14.76,0,14.76
O100018,2024-01-01,2024-01,C10301,P1005,Cookie Pack,Bakery,Australia,Marketplace,Consumer,1,8.68,0.05,8.68,1,-8.25
O100019,2024-01-27,2024-01,C10456,P1009,Ethiopian Beans,Coffee,Australia,Marketplace,Consumer,4,15.26,0.1,61.04,0,54.94
O100020,2024-01-28,2024-01,C10078,P1013,Matcha Tin,Tea,Australia,Marketplace,Consumer,4,16.99,0.0,67.96,0,67.96
O100021,2024-01-07,2024-01,C10307,P1003,Cold Brew Pack,Coffee,Australia,Marketplace,Consumer,2,12.91,0.15,25.82,0,21.95
O100022,2024-01-31,2024-01,C10066,P1003,Cold Brew Pack,Coffee,Australia,Marketplace,Consumer,1,12.83,0.15,12.83,0,10.91
O100023,2024-01-30,2024-01,C10597,P1003,Cold Brew Pack,Coffee,Australia,Online,Consumer,1,12.48,0.0,12.48,0,12.48
O100024,2024-01-24,2024-01,C10599,P1005,Cookie Pack,Bakery,Australia,Online,Consumer,1,7.78,0.1,7.78,0,7.0
O100025,2024-01-30,2024-01,C10228,P1005,Cookie Pack,Bakery,Australia,Online,Consumer,3,8.57,0.1,25.71,1,-23.14
O100026,2024-01-01,2024-01,C10606,P1000,Biscotti Jar,Bakery,Australia,Online,Consumer,2,10.57,0.1,21.14,0,19.03
O100027,2024-01-22,2024-01,C10008,P1010,French Press,Equipment,Australia,Online,Small Business,1,25.08,0.05,25.08,0,23.83
O100028,2024-01-15,2024-01,C10078,P1015,Muffin Box,Bakery,Australia,Online,Consumer,2,11.42,0.0,22.84,0,22.84
O100029,2024-01-30,2024-01,C10301,P1009,Ethiopian Beans,Coffee,Australia,Online,Consumer,2,16.76,0.0,33.52,0,33.52
O100030,2024-01-01,2024-01,C10611,P1005,Cookie Pack,Bakery,Australia,Online,Consumer,4,7.9,0.2,31.6,0,25.28
O100031,2024-01-26,2024-01,C10024,P1011,Green Tea,Tea,Australia,Online,Consumer,2,10.04,0.05,20.08,0,19.08
O100032,2024-01-08,2024-01,C10606,P1003,Cold Brew Pack,Coffee,Australia,Online,Consumer,1,11.9,0.0,11.9,0,11.9
O100033,2024-01-13,2024-01,C10461,P1017,T-Shirt,Merch,Australia,Online,Consumer,1,24.38,0.15,24.38,0,20.72
O100034,2024-01-19,2024-01,C10024,P1008,Espresso Blend,Coffee,Australia,Online,Consumer,1,14.36,0.0,14.36,0,14.36
O100035,2024-01-22,2024-01,C10208,P1013,Matcha Tin,Tea,Australia,Online,Consumer,4,16.37,0.0,65.48,0,65.48
O100036,2024-01-12,2024-01,C10393,P1003,Cold Brew Pack,Coffee,Australia,Online,Corporate,5,12.06,0.15,60.3,0,51.26
O100037,2024-01-28,2024-01,C10401,P1008,Espresso Blend,Coffee,Australia,Online,Consumer,2,15.93,0.1,31.86,0,28.67
O100038,2024-01-30,2024-01,C10461,P1004,Colombian Beans,Coffee,Australia,Online,Consumer,2,15.3,0.0,30.6,0,30.6
